,title,category
32,'대장’ 백선엽을 '중장급’ 명예사령관으로 임명한 미군의 이중성 [한국군 코멘터리],politics
33,[박성진의 한국군 코멘터리]국민청원 게시판 글로 시달리는 군대,politics
34,내일은 택배없는 날… 오늘 주문하면 언제 받아볼까,economic
35,"""14일엔 택배 없어요""…대형 택배사·우체국 배송 중단",economic
36,[영상] '택배 없는 날' 14~16일 국내택배 일괄중단…쿠팡·SSG닷컴·마켓컬리 배송은?,economic
37,내일은 ‘택배 없는 날’…일부 17일 재개 후 물량집중 우려,economic
38,"삼성전자, '업계 최초' 7나노 EUV 시스템반도체에 3차원 적층 기술 적용…""면적↓ 속도·전력효율 ↑""",economic
39,삼성전자는 왜 반도체를 위로 쌓을까,economic
40,"삼성, 비메모리 반도체서도 '최신 3D 적층기술' 개발",economic
41,"EUV에 3D 적층 기술까지..삼성, 파운드리 초격차 강화",economic
42,"LS·두산·한화, 신재생발전에 힘 모은다",economic
43,"LS·두산·한화, 버려진 에너지 재활용 위해 힘 모은다",economic
44,"한화파워시스템, 버려지던 압력을 에너지로 회수한다",economic
45,"LS·두산·한화, 버려지는 에너지 재활용 의기투합",economic
46,"홍남기 ""新직업 창출…2022년까지 6만4000개 일자리 만들 것""",economic
47,"홍남기 ""콘텐츠 등 유망 6대 'K-서비스' 수출…10대강국 목표""(종합)",economic
48,"계약갱신 거절당한 세입자, 이사가려면 5000만원 더 든다",economic
49,서울 아파트 평균 전셋값 5억원 눈앞…2년새 5천만원 올라,economic
50,긴 장마로 무·배추 도매가 작년보다 84%↑…가격안정대책 추진,economic
51,비축물량 풀고 할인행사…부쩍 뛴 농산물 가격 낮춘다,economic
52,"[주식 초고수는 지금]최다 매수, 최다 매도 모두 '씨젠'",economic
53,[주식 초고수는 지금]씨젠과 삼바 사고 SK디스커버리 팔아,economic
54,[주식 초고수는 지금]바이오사업 기대 SK디스커버리 매수·매도 집중,economic
55,"[주식 초고수는 지금]""내년 메모리 시황에 베팅한다""…'SK하이닉스' 매수 1위",economic
56,신규확진 56명중 지역발생 47명 41일만에 최다…수도권감염 비상(종합),social
57,[속보] 코로나19 신규 확진자 56명…서울·경기서만 41명,social
58,"[속보] ""코로나19  국내 지역발생 신규확진자 47명 급증, 서울·경기 집중...해외유입9명""",social
59,[종합] 코로나19 신규 확진 56명...41일만에 최다,social
60,"서울시, 광복절 집회들에 '집회금지' 행정명령",social
61,"'광복절 집회' 불허 방침에 보수단체 ""집회 강행""…충돌 우려",social
62,"[속보] 서울시, 광복절 집회들에 '집회금지' 행정명령",social
63,광복절 서울 도심서 대규모 집회…“주요 도로 곳곳 교통 통제”,social
64,울산서 중학생 코로나 확진…5개 학교 등교 중지(종합),social
65,[속보] 울산 천곡중 학생 코로나19 감염···3개 학교 등교 중지,social
66,[속보]울산 천곡중 학생 코로나 확진…3개교 등교 중지,social
67,울산서 중학생 코로나 확진…5개 학교 등교 중지,social
68,"[속보] 박능후 장관 ""환자 희생 담보로 한 극단적 방식 자제해야""",social
69,박능후 “환자 담보로 한 집단행동 유감…오늘이라도 대화하자”,social
70,"정부 ""의협, 환자희생 담보로 한 극단 방식 자제하고 대화하자""",social
71,"의대정원 양보없는 복지부…박능후 ""협의하되 진료 중단 시 법·원칙 대응""",social
72,여의도·난지·잠실 등 5개 한강공원 오늘 추가 개방,social
73,침수됐던 여의도·난지 한강공원 등 5곳 추가 개방,social
74,한강공원 5곳 추가 개방…“자전거 도로 이용 자제”,social
75,13일 한강공원 5곳 추가 개방… 여의도·난지·잠실·양화·뚝섬 등,social
76,[속보]'박원순 성추행 방조 혐의' 김주명 전 비서실장 경찰 출석,social
77,"서울시 '6층 사람들' 소환 시작...경찰, 김주명 전 비서실장 조사",social
78,"신천지 ""추미애 협박한 적 없다...신도 개인적 의견은 전달 가능""",social
79,"'추미애 협박' 파문에 신천지 ""그런 일 전혀 없어···재판 통해 진실 소명할 것""",social
80,"[세계는 그리고 우리는] 이정미 ""태양광 때리기 뒤엔 원전 마피아 있다?""",social
81,"[세계는 그리고 우리는] ""사인(私人) 간 거래까지 감독? 부동산 감독기구, 지나친 발상""",social
82,"[세계는 그리고 우리는] ""러시아 코로나19 백신, 안정성 믿기 어려워… 이벤트로 끝날 듯""",social
83,[세계는 그리고 우리는] 문 대통령 탄핵 거론한 조국 '음모론자 다 됐다' VS '통합당이 주장하던 것',social
84,[리뷰] 아반떼 N라인 실내 보니...‘드라이브모드’ 버튼 파격 배치,culture
85,"""11년 만에 나왔다""…올뉴 아반떼 하이브리드, 연비 21.1km/ℓ",culture
86,"현대차, 아반떼에 하이브리드·N 라인 추가…2100만원대부터",culture
87,"'역대급 아반떼'가 더 강화됐다···현대차, 하이브리드·N 라인 모델 출시",culture
88,"“1000만원 할인”…볼보코리아, 한정판 XC90·XC60 T8 R-디자인 출시",culture
89,"볼보차, XC90·XC60 T8 R-디자인 한정판 출시…기존 모델보다 1000만 원 낮춰",culture
90,"한국관광공사, 확진자 11만명 카자흐스탄에 방역복 기증",culture
91,"관광공사, 카자흐스탄에 코로나19 방역물품 지원",culture
92,"방탄소년단, 봉준호 등 예술인 기존영상 활용해 광고 제작",culture
93,‘문화는 위로입니다’ 영상 광고…BTS 방방콘도 등장,culture
94,"`문(文)세권, 문(文)테크 들어는 보셨나요?`",culture
95,"904억치 '문화 쿠폰' 쏟아진다…언제, 어떻게 쓸까",culture
96,"간암의 원인 'C형간염', 병용금기약 [이 약 같이 먹으면 안 돼요]",culture
97,"간질간질한 무좀, 항진균제 병용금기약 [이 약 같이 먹으면 안 돼요]",culture
98,살 뺄래요~ '날트렉손+부프로피온' 식욕억제제의 병용금기약 [이 약 같이 먹으면 안 돼요],culture
99,에취~! 알레르기약 '항히스타민제' 알고 먹으세요 [이 약 같이 먹으면 안 돼요],culture
100,[음악이 흐르는 아침] 율리우스 푸치크 피렌체 행진곡,culture
101,[음악이 흐르는 아침] 잘츠부르크 축제 100주년,culture
102,[음악이 흐르는 아침] 이고르 스트라빈스키 - '페트루시카',culture
103,[음악이 흐르는 아침] 아이작 스턴 탄생 100주년,culture
104,"유리천장 또 깼다… 해리스, 美 첫 흑인여성 부통령 후보 낙점",world
105,"바이든-해리스 첫 출격…""엉망인 미국 재건할 것"" 트럼프 맹공(종합)",world
106,'해리스 등판' 불붙은 미 대선…바이든·트럼프 비방전 가열,world
107,"""미국, 새 리더십 원한다"" 바이든·해리스 첫 공개 연설",world
108,“메르스 백신 살짝 바꿔 코로나 백신 만들었다”,world
109,"""진짜 맞다 vs 아니다""… 러·미, '러시아 코로나 백신' 신경전",world
110,"中 전문가 러시아 코로나 백신 ""신뢰할 만... 백신개발 더 속도 낼 것""",world
111,"코로나 백신 안달난 필리핀 대통령 ""러시아 백신, 내가 맞을게""",world
112,아베의 ‘망신’…“日 코로나 사망 적다” 자찬하더니 지도력 평가 꼴찌,world
113,"""日 코로나19 대응 못해""…아베, 6개국 정상 지도력 평가서 '꼴찌'",world
114,"日 아베, 美·유럽 6개국 자국민 지도력 평가 '꼴찌'",world
115,"日아베 코로나 대응, 日·美·유럽 6개국 지도자 중 최하위",world
116,"美 합참차장 “美, 북 ICBM 위협 대응 강력한 방어체계 갖춰”",world
117,美 합참차장 “北 ICBM 위협 맞설 강력한 방어체계 갖춰”,world
118,"""트럼프, 11월 대선 후 국방장관 교체 은밀히 논의""",world
119,"'예스맨' 에스퍼 美국방 경질되나···""트럼프, 대선 후 장관 교체 할 수도""",world
120,"베이루트 폭발 피해액 17조 원…""병원 절반 기능 못해""",world
121,"레바논 대통령 ""베이루트 폭발 피해액 17조원 넘는다""",world
122,"[외신브리핑] 트럼프, 방위비 압박할 만 하네…美 재정적자 사상 최대",world
123,"""운전사 정직원 대우하라"" 판결에 우버, ""서비스 잠정 중단""",world
124,[글로벌 돋보기] 일본 ‘확산세’·미국 ‘재유행’·유럽 ‘불안’…사망 통계로 본 코로나,world
125,[글로벌 돋보기] ‘인화물질 폭발 추정’ 베이루트 참사에 트럼프 “끔찍한 공격”?,world
126,[글로벌 돋보기] ‘마법 백신 없다’ 경고에도 부자 나라 28억 회분 ‘싹쓸이’,world
127,[글로벌 돋보기] 오키나와 “병실 없어 집으로”…日 대도시 넘어 제2의 확산,world
128,"엔씨소프트, 2분기 매출 5386억원… 리니지M·2M서만 3570억원 벌었다(상보)",it
129,리니지 IP로만 4200억 벌었다…엔씨 2조 클럽 '눈앞'(종합),it
130,[종합]'리니지2M' 주춤…하반기 반등 예고한 엔씨,it
131,엔씨소프트 2Q 영업익 2090억…전년比 61%↑(상보),it
132,"삼성, '갤럭시탭S7' 18일 사전판매...82만9400원",it
133,"""이번엔 태블릿"" 삼성 갤탭S7, 18일부터 예판…가격은 82만부터",it
134,"펄어비스, 2Q 영업이익 506억…전년대비 2.3% 감소",it
135,[종합]펄어비스 2분기 영업익 506억 '전망치 상회'…자체 IP의 힘,it
136,"KT, 혁신벤처 14곳 사업화 지원…기업당 최대 5천만원",it
137,"KT, 벤처와 함께 5G 융합신사업 만든다",it
138,MS도 내달 폴더블폰 ‘서피스듀오’ 출시… 가격은 166만원,it
139,MS도 폴더블폰 ‘서피스 듀오’ 내놨다…가격 1399달러,it
140,"[PLAY IT] ""20분마다 방역"" 언택트 시대 삼성전자의 체험형 매장 운영법",it
141,"[PLAY IT] ""몸에 좋은 시계는 안 예쁘다?""…'갤럭시워치3' 차보니",it
142,"[PLAY IT] ""눈과 귀가 즐겁다""…'갤럭시버즈라이브'로 들어보니",it
143,[PLAY IT] 펜은 부드럽고 카메라는 높다…갤노트20울트라 써보니,it
144,[아하! 우주] 왜소행성 세레스 지하에 숨겨진 ‘바다’ 있다,it
145,[아하! 우주] 화성 도착한지 어언 8주년…큐리오시티가 촬영한 명작 사진,it
146,[아하! 우주] 시민 과학자가 찾아낸 100억 살 된 갈색왜성 (연구),it
147,[아하! 우주] 화성 생명체 찾는 미 탐사 로버 '퍼시비어런스' 발사,it
